sample	read_num	uniq_num	unmap	rRNA	spikein	univec	pri_miRNA	lncRNA	mRNA	piRNA	snoRNA	snRNA	srpRNA	tRNA	tucpRNA	Y_RNA	intron_for	intron_rev	promoter_for	promoter_rev	enhancer_for	enhancer_rev	repeats_for	repeats_rev	passQC
SRR10080611	5e+06	290223	0.122828	0.702931	0	8.28e-05	6e-07	0.012337	0.1334082	0	2.8e-05	8.38e-05	2.6e-06	1.1e-05	0.0003182	6.4e-06	0.0086264	0.0091548	0.0007084	0.0012534	0.0039478	0.003797	0.0003774	9.72e-05	TRUE
SRR10080612	8136524	3600524	0.348272431814863	0.0604844279940672	1.22902605584399e-07	0.000166287225355692	7.12835112389517e-06	0.101055192610505	0.390666087877329	0	4.0926567659605e-05	0.000448717412988642	2.78988914676587e-05	9.414339587765e-05	0.00110427991117583	0.000118109403966608	0.0259752198850517	0.0139931990614174	0.00414427586030595	0.00670667228413509	0.0212541620967381	0.0220580680398657	0.00242302486909643	0.000959623544402991	TRUE
SRR10080613	5e+06	2128836	0.4080318	0.077867	2e-07	0.000234	1.4e-06	0.0923794	0.3027846	2e-07	9.56e-05	0.0004396	6.2e-06	4.78e-05	0.002477	4.04e-05	0.0135692	0.01535	0.006718	0.011195	0.0342508	0.0311432	0.0023104	0.0010582	TRUE
SRR10080614	7688601	3300773	0.41017162940306	0.00030187546473019	0	0.000373539997718701	4.42213089221303e-06	0.0244490512643327	0.0446377696020381	0	1.04050138640307e-06	1.7298335548951e-05	4.0059303376518e-05	0	0.00144967855660607	1.30062673300383e-07	0.00643159919470395	0.251966645167307	0.0162225871780835	0.0183465106330788	0.0546427106829968	0.159497286957666	0.00144551655106046	0.0100006490127398	TRUE
SRR10080615	6768609	3094062	0.429636724473226	0.000322813742084969	0	0.00193422311733474	7.97800552521205e-06	0.0135821111841443	0.0833392799022665	0	0	2.4820461633993e-05	5.17092950708188e-05	0	0.00141757338915573	0	0.00633542283207672	0.333007269292701	0.00624663058539797	0.00897008528635647	0.0272530146149674	0.0759844452530793	0.00441464413146039	0.00747125443351802	TRUE
SRR10080616	6147864	2509330	0.461567302074346	0.000130777128446563	0	0.000482606641916607	8.4582222378374e-06	0.0226859279905997	0.0501009781608702	0	0	1.13860683970888e-05	2.47240342336786e-05	1.62658119958412e-07	0.00149157496001863	0	0.00686547392720464	0.236774105608062	0.016520697269816	0.0162734569274792	0.0541280678948005	0.123255654321566	0.00215440679884916	0.0075242393130362	TRUE
SRR10080617	5488101	2201834	0.359296959002759	0.0547036215259158	3.64424780083311e-07	0.000337275133967104	2.55097346058318e-06	0.0644862403224722	0.423621394722874	0	8.38176994191616e-06	0.000282975841734691	1.93145133444155e-05	9.8394690622494e-05	0.00110511814560264	0.000153422832415074	0.0349926140207697	0.0101849437537684	0.00351487700390354	0.00644977197030448	0.0181315905082651	0.0199857837893289	0.00202802390116363	0.000596381152606339	TRUE
SRR10080619	5e+06	1740328	0.4748758	0.05658	2e-07	0.0002792	3.2e-06	0.064657	0.3087858	1.6e-06	3e-05	0.000462	1.7e-05	6.52e-05	0.0013088	9.56e-05	0.0245802	0.0285218	0.0022984	0.004198	0.0149696	0.014931	0.002796	0.0005436	TRUE
SRR10080620	7178156	2778885	0.347900909370039	0.0236191579007199	5.57246178545019e-07	0.000140704660082617	4.04003479445139e-06	0.0411420426081573	0.491619017474683	4.17934633908764e-07	2.81409320165235e-05	0.000240869660676085	1.08663004816279e-05	5.26597638725043e-05	0.000682905191806921	7.45316763803963e-05	0.0440822127577055	0.019807594039472	0.0018344544197702	0.00309313422555876	0.0120525382842056	0.0112141614085846	0.00196582520636219	0.000433258903818752	TRUE
SRR10080621	7824052	3321764	0.412128140252647	0.000204753240392574	0	0.000429700620599147	1.30367231710628e-05	0.0235325634338831	0.0413122254299946	0	5.1124404592403e-07	2.10888168943662e-05	2.65846903880496e-05	0	0.00153756646811652	0	0.00579035006413557	0.289677139160118	0.0138903729167444	0.0153534255651675	0.0457468840953511	0.139239744316628	0.00326173701299531	0.00783417594872836	TRUE
