sample	read_num	uniq_num	unmap	rRNA	spikein	univec	pri_miRNA	lncRNA	mRNA	piRNA	snoRNA	snRNA	srpRNA	tRNA	tucpRNA	Y_RNA	intron_for	intron_rev	promoter_for	promoter_rev	enhancer_for	enhancer_rev	repeats_for	repeats_rev	passQC
SRR6700572	5e+06	79862	0.9825192	8.38e-05	2e-06	0.0051156	0.0018804	0.0002674	0.0004862	2.92e-05	3.6e-06	4e-07	2.2e-06	3.86e-05	0.0001504	0.0001912	0.000284	0.0017472	0.0031702	0.0001338	0.000774	0.0028338	0.0001792	0.0001076	FALSE
SRR6700573	5e+06	70238	0.9839494	0.0001298	8e-07	0.0070804	0.000674	0.0003778	0.0006324	1.16e-05	8e-07	6e-07	1.6e-06	2.18e-05	0.0001962	0.0001256	0.0003752	0.0019516	0.0014194	0.0002306	0.0008128	0.0015688	0.0002704	0.0001684	FALSE
SRR6700575	5e+06	122131	0.9742632	8.1e-05	1.4e-06	0.0044706	0.0015858	0.000206	0.0003372	5e-05	2e-07	0	2.2e-06	3.66e-05	0.0001266	0.0001888	0.0002038	0.0012768	0.0113558	0.0001044	0.0005914	0.004928	0.0001264	6.38e-05	FALSE
SRR6700578	5e+06	157578	0.9669068	0.0002952	6.6e-06	0.0093238	0.0018084	0.0003322	0.000386	7.28e-05	1.4e-06	1e-06	3.6e-06	5.52e-05	0.0002608	0.000161	0.0003776	0.000947	0.0115524	0.0002964	0.0010056	0.0055002	0.0004106	0.0002954	FALSE
SRR6700582	5e+06	249071	0.9486632	0.0003668	2.6e-06	0.0192766	0.0032122	0.0002628	0.0002064	3.58e-05	5.4e-06	2.2e-06	6.4e-06	8.3e-05	0.0002728	0.0001766	0.0003802	0.0008154	0.0095556	0.0001808	0.0006936	0.0153684	0.0002744	0.0001588	FALSE
SRR6700584	5e+06	124309	0.9735446	0.0002478	3.4e-06	0.0088724	0.002442	0.0001558	0.0003016	6.48e-05	1.4e-06	1e-06	2.8e-06	4.44e-05	0.0001248	0.0001242	0.0002438	0.0014784	0.007038	0.0001292	0.0006166	0.0042938	0.0001784	9.08e-05	FALSE
SRR6700703	1615092	30764	0.978821020722039	0.000542383963266489	4.95327820334693e-06	0.000158504902507102	0.00113368154879103	0.000502138577864295	0.000619778935193785	1.11448759575306e-05	2.47663910167346e-06	3.09579887709183e-06	4.95327820334693e-06	4.64369831563775e-05	0.000547337241469836	0.000114544558452398	0.000713891221057376	0.00161043457586317	0.00214105450339671	0.000364685107721418	0.00182590217770876	0.0099616616267061	0.00056467371518155	0.000305245769281255	FALSE
SRR6700711	2925228	85092	0.969276582885163	0.000257073978506974	4.10224433787725e-06	7.24729833024981e-05	0.00181114087517281	0.000434837899814989	0.000340486280043812	2.97412714496101e-05	6.15336650681588e-06	4.78595172752346e-06	4.78595172752346e-06	3.89713212098339e-05	0.000487483368817747	0.000254681002643213	0.000595167282687025	0.00109153884757017	0.00461605044119638	0.000299463836665039	0.00179097150717824	0.0177654528125671	0.000524403567858642	0.000293652323853047	FALSE
SRR6700712	2526138	67558	0.970428773091573	0.000423175614317191	1.54385864905243e-05	0.000171803757356091	0.00121212697010219	0.00087722840161543	0.000754115570883301	1.70220312587832e-05	5.93791788097087e-06	5.93791788097087e-06	9.89652980161812e-06	4.3148869935055e-05	0.000693152947305333	0.000192388539343456	0.00109455619605896	0.00180275186866276	0.00462840905762076	0.000610417958163806	0.00251411443080307	0.0127063525428935	0.00108347208268115	0.000709779117372052	FALSE
SRR6700714	2817092	124831	0.953985528339153	0.000255227731291701	5.32463973487554e-06	0.000554117508409381	0.00188882720195152	0.000429875914595618	0.00044762471371187	4.25971178790043e-05	3.54975982325036e-07	1.41990392930014e-06	5.67961571720057e-06	4.29520938613293e-05	0.000592454914500485	0.000414611947355642	0.000618368161210212	0.00159597201653336	0.007172999674842	0.000282205905948404	0.00177026522385495	0.0290874419436781	0.000513650246424327	0.00029250020943583	FALSE
SRR6700715	2748625	39453	0.983982536722907	0.000313247532857338	1.1642184728728e-05	0.00018263677293192	0.00114711901405248	0.000395834280776752	0.000487516485515485	2.54672790940925e-05	2.1829096366365e-06	4.72963754604575e-06	4.00200100050025e-06	3.0560734912911e-05	0.000446405020692164	0.00010587111737687	0.000582836872981946	0.00108854427213607	0.00221783619082268	0.000336895720587567	0.00148983582700441	0.00639628905361772	0.00048424212106053	0.000263768247760244	FALSE
SRR6700717	3030652	44046	0.983374864550598	0.000316763521512863	9.56889804570106e-06	0.00013033499062248	0.00131192891826577	0.000526619354515134	0.000500882318392214	2.57370361229201e-05	1.64981000787949e-06	1.97977200945539e-06	1.12187080535805e-05	4.19051742001391e-05	0.000527609240519862	8.97496644286444e-05	0.000795208423797915	0.00144424368089771	0.00199330045152	0.000438849462095945	0.00182139024869896	0.00549518717424501	0.000712717923403941	0.000428290678045516	FALSE
SRR6700718	2625680	77410	0.969044971207459	0.000286782852442034	8.75963559915907e-06	8.72155022698882e-05	0.0020905060784254	0.000336293836263368	0.000377045184485543	2.70406142408824e-05	1.52341488681027e-06	1.14256116510771e-06	8.75963559915907e-06	4.57024466043082e-05	0.00041817738642942	0.000190426860851284	0.000518722768958898	0.00107857773986167	0.00291886292312848	0.000246031504219859	0.00132879863502026	0.0202298071356753	0.000466926662807349	0.000287925413607142	FALSE
SRR6700719	2667148	84023	0.966844359593093	0.000284198702134265	7.49864649430778e-06	9.29832165294164e-05	0.00163395507110966	0.00039517867025002	0.000410925827888066	2.99945859772311e-05	1.49972929886156e-06	1.12479697414617e-06	6.37384952016161e-06	4.94910668624313e-05	0.000445044669437167	0.000226084191803379	0.000608140230688361	0.00122902816041704	0.00415762454876895	0.000273325664717518	0.00154584597480155	0.0209733393122541	0.000479163510986267	0.000304819979993611	FALSE
SRR6700730	2266624	28752	0.985743555172803	0.000228092528800542	5.73540207815676e-06	8.77957702733228e-05	0.00107560848204201	0.000521921589112266	0.000408978286650102	1.76473910097131e-05	2.20592387621414e-06	2.64710865145697e-06	1.67650214592275e-05	3.92654449966117e-05	0.000416037243053987	0.00013412017167382	0.00051795092613508	0.00100060707025073	0.00389213208719223	0.000378977721933589	0.00157105898463971	0.00315005929523379	0.00048045022023944	0.000308388157894737	FALSE
SRR6700830	3039088	127961	0.956028584891257	0.000194466234607224	5.92282948042307e-06	0.00102826900701789	0.000897637712366341	0.000506072874493927	0.000472839220187109	1.48070737010577e-05	2.30332257572008e-06	2.96141474021154e-06	3.29046082245726e-06	3.15884238955897e-05	0.000435657012893342	0.000161890672464897	0.000721269012282632	0.00121845764255592	0.00493371695719242	0.000469219713282406	0.00193972665483856	0.029722074517092	0.000716991413213438	0.000492252939039607	FALSE
SRR6700835	3401947	205660	0.937425832912741	0.000267787828558176	1.14640233960141e-05	0.0105798238479318	0.00206822740036808	0.000505886776013853	0.000513235508960016	2.17522495206421e-05	3.23344249631167e-06	1.76369590707909e-06	6.17293567477683e-06	5.87898635693031e-05	0.000665207306286665	0.000149620202783876	0.000751040507097847	0.00156410432026131	0.00334573113572904	0.000449448506987322	0.00201443467520217	0.0382228176982181	0.00082923102564502	0.000544394136651747	FALSE
SRR6700837	2552198	151783	0.938619574186642	0.000294647985775398	5.87728695030715e-06	0.00017279223633903	0.00257346804597449	0.000393778225670579	0.000349894483108285	2.86027964914948e-05	9.40365912049144e-06	5.09364869026619e-06	3.91819130020476e-06	7.75801877440543e-05	0.000470574775154592	0.000266045189283904	0.000671969807985117	0.00124911938650528	0.00583457866513492	0.000318940771836668	0.0018102043806946	0.0457621234716115	0.000681373467105609	0.000400439150880927	FALSE
SRR6700957	5e+06	293190	0.9395234	0.000413	5.6e-06	0.006164	0.0028648	0.000299	0.0002414	3.72e-05	1e-06	2.4e-06	1.52e-05	8.2e-05	0.0003898	0.000292	0.0005724	0.0009786	0.0080018	0.0001952	0.0011878	0.0381076	0.0003944	0.0002314	FALSE
SRR6700959	3329482	132262	0.958678557204995	0.000390451127232404	7.20832850275208e-06	0.00957956823313657	0.00213907148319168	0.000264005031413295	0.000222857489543418	2.07239444454122e-05	1.20138808379201e-06	3.60416425137604e-06	5.40624637706406e-06	5.31614227077966e-05	0.000323173394540052	0.00020153285105611	0.000457728859924757	0.0006995082117879	0.00753961126685773	0.000232768941234703	0.00116804956446678	0.0173765768969467	0.000394655985525676	0.000240577963779351	FALSE
SRR6701058	12173864	395437	0.965718115464408	0.000408498074235099	8.70717793463111e-06	0.00020683654754152	0.00241525615860338	0.000327833463557667	0.000298754774983522	3.47465685504619e-05	1.80715013737627e-06	1.64286376125115e-06	5.17502084794113e-06	6.37431139365447e-05	0.00036775505295607	0.000207411549857958	0.000556027239995453	0.000930682320748778	0.00836324440621318	0.00029645476571777	0.00128480160448646	0.0177053891845679	0.000489573400852843	0.000307544096106216	FALSE
SRR6701060	12178769	446364	0.962072767781374	0.000327126657874864	5.91192755195537e-06	7.71013884900847e-05	0.00317757894907113	0.000213650492919276	0.000147305528169555	2.92311973402238e-05	3.4486244053073e-06	1.88853241243019e-06	4.10550524441345e-06	4.81165214645257e-05	0.000323678033469557	0.000223175265086315	0.00038994088811439	0.000670429006412717	0.00772631453967146	0.000156748190231706	0.000976289147121519	0.0228561687966986	0.000376228500598049	0.000192794526277656	FALSE
