File Name	Project ID	Sample Type
TCGA-BH-A1F0-11B-23R-A136-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A1F2-01A-31R-A13P-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A1F2-11A-32R-A13P-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A1F6-01A-11R-A13P-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A1F6-11B-94R-A13P-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A1F8-11B-21R-A13P-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A1F8-01A-11R-A13P-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A1FB-01A-11R-A13P-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A1FB-11A-33R-A13P-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A1FC-01A-11R-A13P-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A1FC-11A-32R-A13P-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A1FE-06A-11R-A214-13_mirna_gdc_realn.bam	TCGA-BRCA	Metastatic
TCGA-BH-A1FE-11B-14R-A13P-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A1FE-01A-11R-A13P-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A1FG-01A-11R-A13P-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A1FG-11B-12R-A13P-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A1FH-11B-42R-A13P-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A1FH-01A-12R-A13P-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A1FJ-11B-42R-A13P-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A1FJ-01A-11R-A13P-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A1FM-11B-23R-A13P-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A1FM-01A-11R-A13P-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A1FN-11A-34R-A13P-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A1FN-01A-11R-A13P-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A1FR-01A-11R-A13P-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A1FR-11B-42R-A13P-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A1FU-01A-11R-A14C-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A1FU-11A-23R-A14C-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A203-11A-42R-A168-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A203-01A-12R-A168-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A204-11A-53R-A156-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A204-01A-11R-A156-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A208-01A-11R-A156-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A208-11A-51R-A156-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A209-11A-42R-A156-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A209-01A-11R-A156-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-E2-A153-01A-12R-A12C-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-E2-A153-11A-31R-A12C-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-E2-A158-01A-11R-A12C-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-E2-A158-11A-22R-A12C-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-E2-A15I-01A-21R-A136-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-E2-A15I-11A-32R-A136-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-E2-A15K-11A-13R-A12O-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-E2-A15K-06A-11R-A12O-13_mirna_gdc_realn.bam	TCGA-BRCA	Metastatic
TCGA-E2-A15K-01A-11R-A12O-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
